AIANNHCE,AIANNHNS,GEOID,NAME,NAMELSAD,ALAND,AWATER,tot_pop,Shape_Length,Shape_Area
2715,272896,2715R,Pauma and Yuima,Pauma and Yuima Reservation,24252286,0,242,0.26170644,0.002349503
5780,1925076,5780R,Pawnee,Pawnee OTSA,1333909540,56392810,16197,2.152170311,0.139504377
5188,2634629,5188T,Pearl City,Pearl City Hawaiian Home Land,94785,0,63,0.028633039,8.26E-06
2745,272911,2745R,Pechanga,Pechanga Reservation,18159528,6136,343,0.25575345,0.0017615
7205,2419163,7205R,Pedro Bay,Pedro Bay ANVSA,44190373,5815884,20,0.644757007,0.00799151
9844,2564993,9844R,Pee Dee,Pee Dee SDTSA,132007505,1831757,3210,0.518018803,0.013169762
2760,582669,2760R,Penobscot Nation,Penobscot Reservation,19622631,38211557,756,2.86970115,0.006626603
5795,2419165,5795R,Peoria,Peoria OTSA,101791845,364779,5053,0.59855262,0.010328152
7215,2419166,7215R,Perryville,Perryville ANVSA,28926603,17584,86,0.379495816,0.004159191
7220,2575188,7220R,Petersburg,Petersburg ANVSA,6411383,261208,2448,0.169260848,0.000980961
2775,1670201,2775R,Picayune,Picayune Rancheria,280520,0,111,0.02385494,2.85E-05
2785,1934341,2785R,Picuris,Picuris Pueblo,70893925,7083,2216,0.339629131,0.007104724
5193,2634630,5193T,Piihonua,Piihonua Hawaiian Home Land,21251,0,92,0.007064355,1.83E-06
7225,2419169,7225R,Pilot Point,Pilot Point ANVSA,21997040,21429,83,0.505660497,0.003303874
7230,2419170,7230R,Pilot Station,Pilot Station ANVSA,4159455,711574,576,0.144677515,0.000832717
2810,1263144,2810R,Pine Ridge Indian Reservation,Pine Ridge Reservation,11247588717,27448125,19895,5.941680725,1.251796363
2820,230747,2820R,Pinoleville,Pinoleville Rancheria,421979,0,223,0.039760038,4.40E-05
2835,2419056,2835T,Pit River,Pit River Trust Land,1086963,522,0,0.058664923,0.00011615
7235,2419171,7235R,Pitkas Point,Pitkas Point ANVSA,4160639,0,122,0.14840109,0.000713359
7245,2419173,7245R,Platinum,Platinum ANVSA,67245638,4100504,13,0.88624177,0.011141181
2850,573503,2850R,Pleasant Point,Pleasant Point Reservation,1462308,1055604,723,0.135140773,0.000287159
2865,2419057,2865R,Poarch Creek,Poarch Creek Reservation,1071074,7844,356,0.108947923,0.000102208
7250,2419176,7250R,Point Hope,Point Hope ANVSA,12951806,187666,592,0.807750178,0.002859314
7255,2419177,7255R,Point Lay,Point Lay ANVSA,73847369,9782126,251,1.991169243,0.019393148
2990,937193,2990R,Pojoaque,Pueblo of Pojoaque,54748557,0,3356,0.302292236,0.005465167
2890,2419058,2890R,Pokagon,Pokagon Reservation,2709373,12445,86,0.100999849,0.000294754
5800,2419180,5800R,Ponca,Ponca OTSA,423603691,8793989,2119,1.055477982,0.043541572
2900,2419061,2900T,Ponca (NE),Ponca (NE) Trust Land,828880,0,0,0.057631036,9.11E-05
5196,2634631,5196T,Ponohawaii,Ponohawaii Hawaiian Home Land,3727,0,16,0.004011448,3.21E-07
9300,979384,9300R,Poospatuck,Poospatuck (state) Reservation,292590,148143,692,0.036501851,4.70E-05
7263,2575189,7263R,Port Alsworth,Port Alsworth ANVSA,58425288,385782,151,0.47075734,0.009508306
2910,1507567,2910R,Port Gamble,Port Gamble Reservation,6576740,0,622,0.187370993,0.000790308
7265,2419184,7265R,Port Graham,Port Graham ANVSA,16559024,0,192,0.319089248,0.002612008
7270,2419186,7270R,Port Heiden,Port Heiden ANVSA,121120569,1568005,78,0.675749702,0.018100423
7275,2419187,7275R,Port Lions,Port Lions ANVSA,216084874,57061332,190,1.137498504,0.04122446
2925,1507571,2925R,Port Madison,Port Madison Reservation,31289128,0,7846,0.446218684,0.003752071
7260,2419189,7260R,Portage Creek,Portage Creek ANVSA,33682197,0,0,0.404632921,0.00524646
2980,1934332,2980R,Prairie Band of Potawatomi Nation,Prairie Band of Potawatomi Nation Reservation,314701434,174485,1645,0.730792985,0.032898483
2985,654519,2985R,Prairie Island,Prairie Island Indian Community,2233132,171952,158,0.11214038,0.000272759
5198,2634632,5198T,Princess Kahanu Estates,Princess Kahanu Estates Hawaiian Home Land,215014,0,1542,0.022618139,1.87E-05
5199,2414182,5199T,Pulehunui,Pulehunui Hawaiian Home Land,1587124,0,0,0.079371415,0.000137708
5201,364148,5201T,Puukapu,Puukapu Hawaiian Home Land,48826569,47815,961,0.60629795,0.004218723
3000,1514929,3000R,Puyallup,Puyallup Reservation,73835802,1990404,51407,0.510511806,0.009008665
3010,857503,3010R,Pyramid Lake Paiute,Pyramid Lake Paiute Reservation,1438778676,450651614,1499,2.369427505,0.199504926
5810,2419193,5810R,Quapaw,Quapaw OTSA,223775562,1225798,5092,0.748598725,0.022765343
3020,265103,3020R,Quartz Valley,Quartz Valley Reservation,2451478,0,198,0.081244914,0.000264805
3030,1511646,3030R,Quileute,Quileute Reservation,4078881,153768,451,0.190163329,0.000509194
3040,1531838,3040R,Quinault,Quinault Reservation,809805133,29517409,1153,1.664494817,0.100042668
9850,2419194,9850R,Ramapough,Ramapough SDTSA,18619479,260904,994,0.360909045,0.002024585
3070,273181,3070R,Ramona,Ramona Village,2195131,14944,0,0.111745798,0.000214696
7300,2419195,7300R,Rampart,Rampart ANVSA,16777293,1473668,60,0.292471462,0.00353594
3085,1577204,3085R,Red Cliff,Red Cliff Reservation,56845199,351028,1282,0.752201751,0.006753791
7305,2419197,7305R,Red Devil,Red Devil ANVSA,65077919,6991302,21,0.680164607,0.012251152
3100,1934331,3100R,Red Lake Band of Chippewa Indians,Red Lake Reservation,2287185119,977029573,5859,24.88382222,0.394589173
3095,1682404,3095R,Redding,Redding Rancheria,106381,151,21,0.022323944,1.13E-05
3115,231455,3115R,Redwood Valley,Redwood Valley Rancheria,1095256,0,323,0.074065998,0.00011435
3130,853944,3130R,Reno-Sparks,Reno-Sparks Indian Colony,64985885,0,1047,0.546115103,0.006825466
3145,1657342,3145R,Resighini,Resighini Rancheria,996253,0,14,0.068432884,0.000107455
3165,273286,3165R,Rincon,Rincon Reservation,15832640,0,932,0.266790697,0.001532115
3185,265444,3185R,Roaring Creek,Roaring Creek Rancheria,331930,234,21,0.024473805,3.55E-05
3195,234577,3195R,Robinson,Robinson Rancheria,725296,6661,366,0.073507553,7.63E-05
3205,767936,3205R,Rocky Boy's,Rocky Boy's Reservation,227997389,306432,3634,0.822016684,0.027631278
3220,231831,3220R,Rohnerville,Rohnerville Rancheria,176274,0,23,0.025974051,1.88E-05
3235,1266248,3235R,Rosebud Sioux Tribe,Rosebud Indian Reservation,3596445667,5854544,11418,2.843085818,0.398906874
3250,267196,3250R,Round Valley,Round Valley Reservation,30320904,11491,416,1.245433814,0.003194184
7310,2419201,7310R,Ruby,Ruby ANVSA,18194550,0,207,0.276316215,0.003423995
3265,232012,3265R,Rumsey,Rumsey Indian Rancheria,1954498,0,2,0.102067943,0.000202508
7315,2419202,7315R,Russian Mission,Russian Mission ANVSA,13904058,919015,318,0.21284813,0.002520534
5820,1925067,5820R,Sac and Fox Tribe of the Mississippi,Sac and Fox OTSA,1915036225,28523287,58194,2.709743867,0.193579202
3285,479832,3285R,Sac and Fox Nation,Sac and Fox Nation Reservation,59692871,0,141,0.527535855,0.006296466
3280,463420,3280R,Sac and Fox/Meskwaki,Sac and Fox/Meskwaki Settlement,25829960,0,1058,0.526453947,0.002805991
7400,2419203,7400R,Salamatof,Salamatof ANVSA,20800328,439434,1015,0.318528179,0.003481052
3340,37072,3340R,Salt River Pima-Maricopa Indian Community,Salt River Reservation,213473946,7331902,7386,0.902601344,0.021429063
8750,2419206,8750R,Samish,Samish TDSA,581830596,1402707596,38296,2.441028691,0.241757497
3355,24000,3355R,San Carlos,San Carlos Reservation,7516591413,62469236,10443,5.967641865,0.733992285
3400,910614,3400R,Pueblo of San Felipe,San Felipe Pueblo,206204425,1030782,3544,0.814862068,0.02056915
4930,2419124,4930R,San Felipe Pueblo/Santa Ana Pueblo,San Felipe Pueblo/Santa Ana Pueblo joint-use area,2785130,0,0,0.088374936,0.000276213
4940,2419125,4940R,San Felipe Pueblo/Santo Domingo Pueblo,San Felipe Pueblo/Santo Domingo Pueblo joint-use area,3207220,0,0,0.127192582,0.000318505
3415,918342,3415R,San Ildefonso,San Ildefonso Pueblo,113165321,621646,1881,0.621699229,0.011356908
3445,248904,3445R,San Manuel,San Manuel Reservation,2781454,0,51,0.084819928,0.000271919
3460,255933,3460R,San Pasqual,San Pasqual Reservation,5727871,0,843,0.233763046,0.000553922
7410,2419207,7410R,Sand Point,Sand Point ANVSA,20659491,456305,1372,0.27531981,0.002987893
3370,1934343,3370R,Sandia,Sandia Pueblo,99012584,1013094,5264,0.487996905,0.009906035
3480,1934345,3480R,Santa Ana,Santa Ana Pueblo,261508404,358738,695,0.902183033,0.025992586
3495,937196,3495R,Santa Clara,Santa Clara Pueblo,198868429,647768,11693,0.967401825,0.019937305
3520,247949,3520R,Santa Rosa,Santa Rosa Rancheria,1620467,0,940,0.065086096,0.000162454
3525,1934330,3525R,Santa Rosa,Santa Rosa Reservation,44189655,0,73,0.429565433,0.00429036
3540,249132,3540R,Santa Ynez,Santa Ynez Reservation,629386,0,263,0.053420461,6.19E-05
3550,255932,3550R,Santa Ysabel,Santa Ysabel Reservation,60672776,0,198,0.727914023,0.005864835
3565,1884912,3565R,Santee Sioux Nation,Santee Reservation,447827823,30051352,1019,0.915510307,0.052524226
9875,2564994,9875R,Santee,Santee SDTSA,19887949,0,560,0.206343337,0.001926457
3585,937201,3585R,Kewa Pueblo,Santo Domingo Pueblo,274758135,641684,3192,0.900520245,0.027368606
9865,2418630,9865R,Sappony,Sappony SDTSA,111352887,10556976,2611,0.447308192,0.012261311
3625,2419131,3625R,Sauk-Suiattle,Sauk-Suiattle Reservation,188279,0,63,0.032521268,2.28E-05
3635,2419132,3635R,Sault Ste. Marie,Sault Ste. Marie Reservation,2290468,45259,2180,0.121326527,0.00027359
7415,2419208,7415R,Savoonga,Savoonga ANVSA,15208048,0,921,0.436705457,0.002756996
7420,2419209,7420R,Saxman,Saxman ANVSA,2497701,0,360,0.084954788,0.00035342
7425,2419210,7425R,Scammon Bay,Scammon Bay ANVSA,1212563,0,585,0.063898294,0.000206587
9350,210687,9350R,Schaghticoke,Schaghticoke (state) Reservation,1122120,0,11,0.048074787,0.00012136
7430,2419211,7430R,Selawik,Selawik ANVSA,6033425,1591057,839,0.171291713,0.001542057
7435,2419212,7435R,Seldovia,Seldovia ANVSA,34304082,3288581,400,0.517700412,0.005950583
5830,1925073,5830R,Seminole,Seminole OTSA,1470140343,19100946,23006,2.076719609,0.14732144
3665,2419138,3665T,Seminole (FL),Seminole (FL) Trust Land,7841,0,0,0.003431441,7.08E-07
5835,2419214,5835R,Seneca Nation,Seneca-Cayuga OTSA,187237403,28413998,4532,0.831196939,0.021745025
7440,2419215,7440R,Shageluk,Shageluk ANVSA,26459996,3323884,75,0.318361506,0.005214475
3680,649741,3680R,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,1062761,0,954,0.083549077,0.00012076
7450,2419216,7450R,Shaktoolik,Shaktoolik ANVSA,2765146,23272,294,0.272273519,0.000517747
3735,232986,3735R,Sherwood Valley,Sherwood Valley Rancheria,1422993,0,107,0.073513002,0.00014904
3750,233021,3750R,Shingle Springs,Shingle Springs Rancheria,641958,0,140,0.032961419,6.65E-05
9370,979494,9370R,Shinnecock,Shinnecock (state) Reservation,3494292,0,16,0.082315824,0.000373276
7465,2419217,7465R,Shishmaref,Shishmaref ANVSA,42980933,4115,525,0.636884087,0.008528524
3780,1508317,3780R,Shoalwater Bay,Shoalwater Bay Indian Reservation,2699959,595212,78,0.080010917,0.000387741
7470,2419218,7470R,Shungnak,Shungnak ANVSA,20853329,2410509,288,0.306394223,0.004758647
3795,1155124,3795R,Siletz,Siletz Reservation,16073090,1164,675,1.195971063,0.001826208
7475,2575190,7475R,Sitka,Sitka ANVSA,6832476,901630,4701,0.296738302,0.001144656
7485,2575191,7485R,Skagway,Skagway ANVSA,209377422,11735259,1061,1.002089868,0.035106429
3825,1525866,3825R,Skokomish,Skokomish Reservation,21255693,570434,761,0.299517766,0.002597501
3840,1445643,3840R,Skull Valley,Skull Valley Reservation,72932870,0,29,0.501964876,0.007735365
7495,2419223,7495R,Sleetmute,Sleetmute ANVSA,54764625,13575196,83,0.446983934,0.011580565
3855,274833,3855R,Smith River,Smith River Rancheria,657825,0,129,0.058215342,7.14E-05
3860,2419473,3860R,Snoqualmie,Snoqualmie Reservation,229227,0,0,0.02694103,2.74E-05
3870,249635,3870R,Soboba,Soboba Reservation,25786165,399497,417,0.271709422,0.00254881
3885,1577206,3885R,Sokaogon Chippewa,Sokaogon Chippewa Community,7625889,888166,461,0.183043527,0.000979996
7500,2419225,7500R,Solomon,Solomon ANVSA,8917857,13548811,0,0.838870773,0.004195213
3930,861680,3930R,South Fork,South Fork Reservation,39443126,10727,57,0.742774024,0.004197065
5213,1853356,5213T,South Maui,South Maui Hawaiian Home Land,890437,0,0,0.144676052,7.72E-05
7505,2419226,7505R,South Naknek,South Naknek ANVSA,226499835,6301244,41,1.229037698,0.036013061
3925,169585,3925R,Southern Ute,Southern Ute Reservation,2747429006,12071074,13379,3.160547416,0.279740867
3935,1934326,3935R,Spirit Lake,Spirit Lake Reservation,1009175853,25326523,4455,3.353822567,0.124461567
3940,1511576,3940R,Spokane,Spokane Reservation,615340764,31967209,2187,1.815511146,0.077904368
3955,1508671,3955R,Squaxin Island,Squaxin Island Reservation,6481119,0,524,0.303174179,0.000769251
3305,1843172,3305R,St. Croix,St. Croix Reservation,8116397,147462,636,0.433543221,0.000954059
7340,2419228,7340R,St. George,St. George ANVSA,90081562,382086106,78,1.152355411,0.069016393
7375,2419229,7375R,St. Michael,St. Michael ANVSA,56325557,16363506,468,0.7589677,0.013078773
7390,2419230,7390R,St. Paul,St. Paul ANVSA,109514406,5385553,425,0.894992159,0.017061041
3320,979449,3320R,Saint Regis Mohawk Tribe and the Mohawk Council of Akwesasne,St. Regis Mohawk Reservation,49055465,5306039,3302,0.432345175,0.006201721
3970,1934335,3970R,Standing Rock Sioux Reservation,Standing Rock Reservation,9242111072,243965994,8618,6.764859304,1.098481438
9880,2419231,9880R,Star Muskogee Creek,Star Muskogee Creek SDTSA,291590475,810262,6190,1.628893011,0.027825063
7510,2419232,7510R,Stebbins,Stebbins ANVSA,84449862,3944516,473,0.776667004,0.015906017
7520,2419234,7520R,Stevens Village,Stevens Village ANVSA,30174876,3739390,11,0.455953527,0.006704934
3980,2419480,3980R,Stewart,Stewart Community,11447757,6001,122,0.481738062,0.00119212
3985,235473,3985R,Stewarts Point,Stewarts Point Rancheria,171789,0,91,0.01706993,1.78E-05
4000,2419481,4000R,Stillaguamish,Stillaguamish Reservation,111048,0,11,0.023816106,1.34E-05
4015,1577203,4015R,Stockbridge Munsee,Stockbridge Munsee Community,61058563,95813,765,1.193048745,0.006968641
7525,2419236,7525R,Stony River,Stony River ANVSA,8125437,3677053,41,0.384413946,0.002007627
4030,267889,4030R,Sulphur Bank,Sulphur Bank Rancheria,193613,23476,46,0.023507301,2.26E-05
4045,858261,4045R,Summit Lake,Summit Lake Reservation,48222494,1837377,0,0.383459549,0.00540023
4060,235836,4060R,Susanville,Susanville Indian Rancheria,4145410,0,577,0.138228568,0.000440033
4075,1528418,4075R,Swinomish,Swinomish Reservation,30853578,23639270,2915,0.460282109,0.00661832
4090,273630,4090R,Sycuan,Sycuan Reservation,2560687,0,172,0.063277191,0.000246464
4095,1665550,4095R,Table Bluff,Table Bluff Reservation,305520,0,161,0.024448241,3.25E-05
4110,2419484,4110R,Table Mountain,Table Mountain Rancheria,551202,0,9,0.03189903,5.58E-05
7530,2419241,7530R,Takotna,Takotna ANVSA,61682441,0,23,0.889124755,0.010914366
9400,2419487,9400R,Tama,Tama (state) Reservation,365137,2118,11,0.027891248,3.46E-05
4130,2419488,4130R,Tampa,Tampa Reservation,179740,1837,0,0.017392361,1.67E-05
7535,2419244,7535R,Tanacross,Tanacross ANVSA,204870313,4217785,141,1.37011717,0.03746988
7540,2419247,7540R,Tanana,Tanana ANVSA,27636124,11208201,242,0.430736999,0.007433603
4140,1934342,4140R,Taos,Taos Pueblo,401232445,154305,5129,1.521742662,0.040353477
7555,2419248,7555R,Tatitlek,Tatitlek ANVSA,18781753,7281435,78,0.337425235,0.004308037
7560,2419250,7560R,Tazlina,Tazlina ANVSA,31875183,2206775,354,0.442392434,0.005848989
7565,2419252,7565R,Telida,Telida ANVSA,4335609,0,0,0.141271892,0.000777711
7570,2419253,7570R,Teller,Teller ANVSA,3865313,487521,182,0.23171593,0.000835492
4170,937203,4170R,Tesuque,Tesuque Pueblo,68548064,0,921,0.333044488,0.006834997
7580,2419255,7580R,Tetlin,Tetlin ANVSA,473948515,28316360,144,2.290520255,0.089331309
4180,2419492,4180R,Timbi-Sha Shoshone,Timbi-Sha Shoshone Reservation,31762611,0,24,0.562601034,0.003221397
7605,2419257,7605R,Togiak,Togiak ANVSA,122590090,215448099,705,1.131570675,0.052806472
4200,23763,4200R,Tohono O'odham Nation,Tohono O'odham Nation Reservation,11535016214,883039,10761,6.966117958,1.102752583
7625,2419259,7625R,Toksook Bay,Toksook Bay ANVSA,27232452,81777,506,0.356966665,0.004467579
4225,979554,4225R,Tonawanda,Tonawanda Reservation,30561278,180036,452,0.271946063,0.003397322
5860,1925069,5860R,Tonkawa,Tonkawa OTSA,369046070,2754555,3918,0.77899364,0.037484019
4235,32748,4235R,Tonto Apache,Tonto Apache Reservation,391178,0,140,0.026802788,3.83E-05
