AIANNHCE,AIANNHNS,GEOID,NAME,NAMELSAD,ALAND,AWATER,tot_pop,Shape_Length,Shape_Area
9967,2564996,9967R,Waccamaw,Waccamaw SDTSA,3315942,10884,9,0.089529855,0.000324548
9970,2419280,9970R,Waccamaw Siouan,Waccamaw Siouan SDTSA,116825121,4394,2008,0.981838669,0.011451384
5223,2634634,5223T,Waiahole,Waiahole Hawaiian Home Land,74572,0,42,0.036528587,6.50E-06
5236,364489,5236T,Waiakea,Waiakea Hawaiian Home Land,5606652,0,0,0.252282846,0.00048305
5238,1853126,5238T,Waianae,Waianae Hawaiian Home Land,1497781,0,2542,0.138905493,0.000130513
5239,2634648,5239T,Waianae Kai,Waianae Kai Hawaiian Home Land,101577,0,782,0.014097773,8.85E-06
5241,364587,5241T,Waiehu,Waiehu Hawaiian Home Land,524527,0,1507,0.036294988,4.55E-05
5248,2634649,5248T,Waiku-Hana,Waiku-Hana Hawaiian Home Land,2981190,0,0,0.096283842,0.0002586
5251,364713,5251T,Wailau,Wailau Hawaiian Home Land,258239,0,0,0.019801958,2.22E-05
5256,364740,5256T,Wailua,Wailua Hawaiian Home Land,2201622,0,0,0.11310282,0.000192594
5271,364774,5271T,Waimanalo,Waimanalo Hawaiian Home Land,8174591,0,3061,0.41463205,0.000711666
5276,364785,5276T,Waimanu,Waimanu Hawaiian Home Land,835382,0,0,0.075696841,7.22E-05
5281,2414262,5281T,Waimea,Waimea Hawaiian Home Land,61023810,13039,0,0.294650539,0.005339614
7735,2419281,7735R,Wainwright,Wainwright ANVSA,26712260,0,508,0.552179016,0.006470527
5283,364821,5283T,Waiohinu,Waiohinu Hawaiian Home Land,1116534,0,0,0.12738416,9.58E-05
5286,1853042,5286T,Waiohuli (Residential),Waiohuli (Residential) Hawaiian Home Land,14917552,0,1277,0.218799901,0.001293677
7740,2419282,7740R,Wales,Wales ANVSA,5966050,121,170,0.168852896,0.001160854
4515,857504,4515R,Walker River,Walker River Reservation,1367746294,7784371,1209,2.214803837,0.143027077
4530,2419514,4530T,Wampanoag-Aquinnah,Wampanoag-Aquinnah Trust Land,1903942,21663,66,0.309559187,0.00020715
4545,1133438,4545R,Warm Springs,Warm Springs Reservation,2617013942,10698881,4296,2.804678374,0.299187969
4560,2419516,4560T,Washoe Ranches,Washoe Ranches Trust Land,375530043,2705893,3096,5.341436459,0.039261489
9975,2584541,9975R,Wassamasaw,Wassamasaw SDTSA,23004982,0,2188,0.291093171,0.002221351
4580,849846,4580R,Wells,Wells Colony,328255,0,99,0.026184425,3.52E-05
4595,1934333,4595R,White Earth,White Earth Reservation,2832819296,179359846,9845,2.586556748,0.357760598
7745,2419284,7745R,White Mountain ,White Mountain ANVSA,4726281,574076,186,0.160853286,0.00099592
4610,1597068,4610R,Wind River Reservation,Wind River Reservation,8978352500,150318742,26855,4.842571867,1.012304429
4625,834982,4625R,Winnebago Tribe of Nebraska,Winnebago Reservation,457887056,2944351,2983,1.260826663,0.050252137
4635,849652,4635R,Winnemucca,Winnemucca Indian Colony,1441447,0,29,0.062582695,0.000154165
4665,1985241,4665R,Woodfords,Woodfords Community,1578715,0,284,0.088922141,0.000163708
7755,2575193,7755R,Wrangell,Wrangell ANVSA,2414801,0,1323,0.12080462,0.000351889
5890,2419290,5890R,Wyandotte,Wyandotte OTSA,84411861,3943307,1687,0.570222386,0.008921037
4680,252581,4680R,XL Ranch,XL Ranch Rancheria,39457225,41930,51,1.269568172,0.004264992
4690,1502906,4690R,Yakama Nation,Yakama Nation Reservation,5577487803,4239523,30810,4.881050137,0.651064004
7765,2419292,7765R,Yakutat,Yakutat ANVSA,259961402,8696512,665,1.572508472,0.042661365
4700,1891160,4700R,Yankton Sioux,Yankton Reservation,1723553383,49380242,6829,2.266490301,0.19606044
4708,27214,4708R,Yavapai-Apache Nation,Yavapai-Apache Nation Reservation,2754947,0,712,0.135585008,0.000270814
4710,36443,4710R,Yavapai-Prescott,Yavapai-Prescott Reservation,5704649,0,368,0.145914035,0.000560312
4725,848133,4725R,Yerington,Yerington Colony,81231,0,216,0.013509127,8.44E-06
4740,862119,4740R,Yomba,Yomba Reservation,18911932,11308,91,0.757108158,0.001967254
4755,2419529,4755R,Ysleta del Sur,Ysleta del Sur Pueblo,299406,0,1220,0.047173065,2.85E-05
4760,2419530,4760R,Yurok,Yurok Reservation,217781902,8668719,811,1.810261512,0.024371758
4770,1934347,4770R,Pueblo of Zia,Zia Pueblo,486398588,115707,934,2.051158955,0.048358128
4785,1934346,4785R,Pueblo of Zuni,Zuni Reservation,1705153540,2906813,9560,2.970386649,0.168744585
